Genome_ID	GGGPS_pro_ID	Plsc_pro_ID	Organism	Superdomain	Domain	Kingdom	Phylum
JBJLBF01	MFL2954993.1	MFL2954233.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PAVV01	MBE45970.1	MBE45202.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAQXEV01	MDG1536792.1	MDG1535845.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DQKB01	DAC59095.1	DAC56186.1,DAC60227.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYYCX01	MEC8706887.1	MEC8706901.1,MEC8706815.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQXFC01	MDG1543816.1	MDG1543777.1,MDG1544453.1,MDG1543795.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
DALTYW01	HJK19270.1	HJK18956.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
SUSX01	MBE6526020.1	MBE6525208.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQXFH01	MDG1550822.1	MDG1550335.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQCGG01	MDA0715047.1	MDA0715627.1,MDA0715903.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
PSPG01	PXF22375.1	PXF22009.1	Candidatus Thalassarchaeum betae	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PAOW01	MBA87835.1	MBA88233.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYYNQ01	MEC8151864.1	MEC8152366.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PAAW01	MAT49311.1	MAT48522.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKURS01	MCH2440554.1	MCH2439898.1,MCH2440206.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGXNS01	MBY8980530.1	MBY8980246.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
SUSX01	MBE6525952.1	MBE6525208.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
